Key,Id,Shared Comments,English (United States)(en-US),English (United States)(en-US) Comments,Korean (South Korea)(ko-KR),Korean (South Korea)(ko-KR) Comments
game_where_is_it_kitchen,,,"Frying pan, Spoon, Refrigerator, Sink, Pot, Rubber gloves, Knife, Ladle, Spatula",,"프라이팬, 숟가락, 냉장고, 싱크대, 냄비, 고무장갑, 칼, 국자, 뒤집개",
game_where_is_it_restroom,,,"Toothpase, Toilet, Towel, Toothbrush, Sink, Washboard, Dish towel, Razor, Toilet paper",,"치약, 변기, 수건, 칫솔, 세면대, 빨래판, 때수건, 면도기, 휴지",
scene_intro_0,,,It is loading. Please wait. ,,로딩 중 입니다. 잠시만 기다려주세요.,
scene_intro_1,,,In preparation. ,,준비 중 입니다,
scene_intro_2,,,Thank you for using the Smartcare. ,,스마케어를 이용해주셔서 감사합니다.,
scene_intro_3,,,Those who writes a review can use all paid games for 30 days. Would you like to write a review now? ,,평가를 남겨주신 분들은 모든 유료게임을 30일동안 이용하실수있어요. 지금 남기시겠습니까?,
scene_splash_0,,,You will find various contents for preventing dementia. ,,치매 예방을 위한 다양한 콘텐츠를 만나 볼 수 있습니다.,
scene_splash_1,,,This program was developed in collaboration between the Catholic University Hospital Big Data Center research team and the cognitive psychology research team. ,,가톨릭 대학병원 빅데이터 센터 연구진과 인지심리 연구팀이 협력하여 개발한 프로그램입니다. ,
scene_exit,,,"Click once more to exit, Click once more to go to the login page, Click once more to go to the main page. ",,"한 번 더 누르시면 종료합니다, 한 번 더 누르시면 로그인 페이지로 이동합니다, 한 번 더 누르시면 메인으로 이동합니다",
scene_main_0,,,"Exam·Training, Dementia Self-diagnosis, Dementia Prevention Training, Check Result, Learn about Dementia, Dementia OX Quiz, Learn about the Types of Dementia, Learn about the Criteria of Dementia",,"검사·훈련, 치매 자가 진단, 치매 예방 훈련, 결과 보기, 치매 알기, 치매 OX 퀴즈,  치매 종류 알기, 치매 기준 알기",
scene_main_1,,,"You can enjoy new trainings and 5 areas of dementia prevention training whenever, wherever. ",,새로운 훈련들과 5가지 영역의 치매 예방 훈련을 언제 어디서나 즐기실 수 있습니다.,
scene_main_2,,,Experience the training,,훈련 체험하기,
scene_main_3,,,"Smartcare Pass, Lifetime Pass",,"스마케어 이용권, 평생 이용권",
scene_main_4,,,"Receive points, Check pass",,"포인트 받으러 가기,이용권 보러가기",
scene_main_5,,,"Points, My Smartcare pass ",,"포인트, 나의 스마케어 포인트",
scene_main_6,,,"Announcements, Settings, My information, Edit, Sound/Vibration, Unsubscribe, Homepage, Terms of use, Privacy Policy",,"공지사항, 설정, 내 정보, 수정, 소리/진동, 탈퇴하기, 홈페이지, 이용약관, 개인정보취급방침",
scene_main_7,,,Enjoy games unlimited. ,,모든 게임을 제한 없이 즐기세요,
scene_main_8,,,You are a paid member ,,회원님은 유료회원 입니다,
scene_main_9,,,Check remaining period,,남은 기간 확인하기,
scene_main_10,,,DigitalPharm,,디지털팜,
scene_main_11,,,Payment date ,,결제일,
scene_main_12,,,"Basic information, No registered information ",,"기본정보, 등록된 정보 없음",
scene_main_13,,,"Change my information, Change password, Change terms of use ",,"내 정보 변경하기, 비밀번호 변경하기, 정보제공동의 변경하기",
scene_main_14,,,"Edit my information, Save, Name, Nickname, Gender, Date of birth, Highest level of education, Phone number, Email address",,"내 정보 수정, 저장하기, 이름, 닉네임, 성별, 출생년도, 최종학력, 휴대폰 번호, 이메일 주소",
scene_main_15,,,You can receive a comprehensive cognitive report by email. ,,종합인지보고서를 메일로 받으실 수있습니다  ,
scene_main_16,,,"Select your highest level of education, Please tell us how much education you have received, All users",,"최종학력 선택, 교육받은 정도를 알려주세요, 전체 이용자",
scene_main_17,,,"ID, Current password, New password, Create password, Check password",,"아이디, 현재 비밀번호, 새 비밀번호, 비밀번호 생성, 비밀번호 확인, ",
scene_main_18,,,You can collect Smartcare points and partcipate in various events. ,,스마케어 포인트를 모아서 다양한 이벤트에 참여 하실 수 있습니다.,
scene_main_19,,,Use points,,포인트 사용하기,
scene_main_20,,,"Dementia self-diagnosis, View past results",,"치매 자가 진단, 지난검사 결과보기",
scene_main_21,,,"Digital brain screening, It is a dementia screening test using MMSE-K",,"디지털 브레인 스크리닝, MMSE-K를 활용한 치매 선별 검사입니다",
scene_main_22,,,"Motor imagery test, This is a motor imagery test. ",,"운동 심상 검사, 운동심상 검사입니다, ",
scene_main_23,,,"Orientation test, This is a date orientation test. ",,"지남력 검사, 날짜 인지능력 검사입니다",
scene_main_24,,,What is Digital Brain Screening? DBS is a dementia self-diagnosis test that can simply measure the level of cognitive decline. Shall we get started? ,,"디지털 브레인 스크리닝은?, DBS는 치매 자가진단 검사로써 인지 저하의 수준을 간단하게 측정할 수 있는 검사입니다. 그럼 한번 시작해볼까요?",
scene_main_25,,,What is Motor imagery test? Motor imagery is a brain activity that involves imagining moving images in your mind. This test can be used to predict the degree of cognitive decline. ,,"운동 심상 검사란?, 운동심상(Motor imagery)이란 움직이는 이미지를 마음속으로 상상하는 두뇌활동 입니다. 본 검사를 통해 인지 저하 정도를 예측할 수 있습니다.",
scene_main_26,,,"What is Orientation test? Orientation is an ability to correctly recognize time, place, situation or environment, and is the ability that is most significantly reduced when cognitive function declines. It determines the decline in orientation.",,"지남력 검사란?, 지남력은 시간과 장소 또는 상황이나 환경을 올바르게 인식하는 능력으로 인지기능 저하시 가장 두드러지게 감소하는 능력입니다. 지남력의 저하여부를 판단합니다.",
scene_main_27,,,"View result, Dementia self-diagnosis result, Dementia prevention training result, Comprehensive brain cognitive report, My training result",,"결과 보기, 치매 자가 진단 결과, 치매 예방 훈련 결과, 두뇌인지종합보고서, 나의 훈련 결과",
scene_main_28,,,Shall we look at the results of your training? We will analyze the results from various aspects. ,,여러분이 하신 훈련 결과를 한번 살펴볼까요? 다방면으로 결과를 분석해드립니다.,
scene_main_29,,,Various training programs are available. Shall we work hard on our brain exercise today? ,,"다양한 훈련이 준비되어 있습니다, 오늘도 두뇌운동을 열심히 해볼까요?",
scene_main_30,,,"Dementia prevention training, Today's training, Work on a variety of training every day",,"치매 예방 훈련, 오늘의 훈련 하기, 매일매일 다양한 훈련을 진행하세요",
scene_main_31,,,"The Smartcare Terms of Use, Personal information collection and use of consent ",,"스마케어 이용약관, 개인정보 수집·활용 동의서, ",
scene_main_32,,,,,,
scene_main_33,,,,,"스마케어(이하 '스마케어') 는 정보통신망 이용촉진 및 정보보호 등에 관한 법률, 개인정보보호법, 통신비밀보호법, 전기통신사업법 등 정보통신서비스제공자가 준수하여야 할 관련 법령상의 개인정보보호 규정을 준수하며, 관련 법령에 의거한 개인정보처리방침을 정하여 '회원'의 권익 보호에 최선을 다하고 있습니다. 
'스마케어'는 '회원'의 개인정보를 보호하고 개인정보와 관련한 '회원'의 고충을 원활하게 처리할 수 있도록 개인정보처리방침을 제정?시행하며, '스마케어'가 개인정보처리방침을 개정하는 경우 '앱(App)'의 별도의 공간을 통하여 공지합니다.

제 1조 개인정보의 수집 및 이용 목적
'스마케어'는 '회원'의 동의가 있거나 법령의 규정에 의한 경우를 제외하고는 본 조에서 고지한 범위를 넘어 '회원'의 개인정보를 활용하지 않습니다. 수집한 개인정보 활용의 목적은 아래와 같습니다.

1. 회원관리 : 아이디/비밀번호 찾기, 개인 식별, 불량 회원의 부정 이용 방지와 비인가 사용 방지, 가입 의사 확인, 추후 법정 대리인 본인확인, 분쟁 조정을 위한 기록보존, 연령확인, 불만처리 등 민원 상담 처리, 고지사항 등 최신 정보 전달 등
2. 데이터분석 : 스마케어는 사용자의 인지상태 진단 및 질병 발생 위험군의 관리를 위하여 어플리케이션 내부에 포함된 아래의 개인정보를 수집하여 데이터 분석에 활용하고 있습니다.
3. 마케팅 및 광고에 활용: 신규 서비스(제품) 개발 및 특화, 이벤트 등 광고성 정보 전달, 인구 통계학적 특성에 따른 서비스 제공 및 광고 게재, 접속 빈도 파악 또는 '회원'의 서비스 이용에 대한 통계 등
4. 사고발생시 원인 규명 및 처리를 위한 수집 및 이용

제 2조 개인정보의 수집 목적 및 항목

1. 수집하는 개인정보의 항목
 - 수집항목 : 회원가입 시 제공한 성명, 연령, 성별, 이메일, 전화번호, 단말기 등 개인정보
 
2. 개인정보 수집방법
 '스마케어'는 다음과 같은 방법으로 개인정보를 수집합니다.
  - 스마케어 어플내의 컨텐츠 이용을 통한 회원 가입 및 정보 수정
   - 이벤트 경품 응모, 배송 요청
   - 제휴사로부터의 제공 (추후적용)
  - 생성정보 수집 툴을 통한 자동 수집 (추후적용) 
      
제 3조 개인정보의 보유 및 이용기간
'스마케어'는 '회원'이 회원자격을 유지하고 있는 동안 수집된 '회원'의 개인정보를 보유?이용할 수 있으며, '회원'이 탈퇴하거나 자격을 상실할 경우에는 '회원'의 별도 요청이 없더라도 수집된 회원정보를 삭제 및 파기합니다. 
단, '회원'의 탈퇴 또는 자격상실에도 불구하고 다음의 정보에 대해서는 아래의 이유로 명시한 기간 동안 보존 합니다.

1. '스마케어' 내부 규정에 의한 정보 보유

보존항목 : 아이디, 성명, 휴대전화번호
보존근거 : 휴면기간 및 재사용 본인 확인 목적
보존기간 : 12개월

2. 관계법령에 의한 정보 보유 사유

보존항목 : 계약 또는 청약철회 등에 관한 기록
보존근거 및 보존기간
 - (소비자 식별정보, 계약?청약철회 기록 등)	전자상거래 등에서의 소비자보호에 관한 법률	5년
 - 대금결제 및 재화 등의 공급에 관한 기록	전자상거래 등에서의 소비자보호에 관한 법률	5년
- 소비자의 불만 및 분쟁처리에 관한 기록	전자상거래 등에서의 소비자보호에 관한 법률	3년
 - 신용정보의 수집?처리 및 이용 등에 관한 기록	신용정보의 이용 및 보호에 관한 법률	3년
 - 웹사이트 방문기록(로그기록, IP 등)	통신비밀보호법 3개월 
 
제 4조 동의의 거부권 등
'회원'은 개인정보 수집?이용에 관한 동의를 거부할 권리가 있습니다. 다만, 컨텐츠 이용을 위해 필요한 최소한의 개인정보 수집?이용에 관한 동의를 거부하는 경우에는 
'스마케어'의 실행이 불가(본인 여부 및 계약 체결 의사 불명 이유)하고, 마케팅 활동 및 홍보를 위한 개인정보 수집?이용 또는 선택적 수집?이용에 관한 동의를 거부하는 경우에는 
이벤트, 혜택에 대한 정보를 제공받지 못하거나 사은품?판촉물 제공, 제휴서비스 이용, 할인 혜택 적용 및 포인트 적립 불가 등의 불이익이 발생할 수 있습니다.

제 5조 개인정보의 파기절차 및 방법
'스마케어'는 원칙적으로 개인정보 수집 및 이용목적이 달성된 후에는 해당 정보를 지체 없이 파기합니다. 다만, 관계법령에 따라 개인정보를 보존하여야 하는 경우에는 해당 기간 경과 후 지체없이 재생 불가능한 방법으로 파기하며, '스마케어'의 개인정보 파기절차 및 방법은 다음과 같습니다.

1. 개인정보 파기절차 
'회원'이 입력한 정보는 목적 달성 후 별도의 DB에 옮겨져(종이의 경우 별도의 서류함) 내부 규정 및 기타 관련 법령에 따라 일정기간 저장되거나 즉시 파기됩니다. 이 때, DB로 옮겨진 개인정보는 법률에 의한 경우가 아니고서는 다른 목적으로 이용되지 않습니다.

2. 개인정보 파기기한 
개인정보의 보유기간이 경과한 경우에는 그 경과한 날로부터, 개인정보의 처리 목적 달성, 해당 서비스의 폐지, 사업의 종료 등 그 개인정보가 불필요하게 된 경우에는 개인정보의 처리가 불필요한 것으로 인정되는 날로부터 각 지체 없이(정당한 사유가 없는 한 30일 이내) 해당 개인정보를 파기합니다.

- 회원가입정보의 경우 회원탈퇴 또는 회원에서 제명된 때
- 대금지급정보의 경우 대금의 완제일 또는 채권소멸 시효기간이 만료된 때 또는 대금지급으로 이용가능한 컨텐츠의 만료일 이후
- 설문조사, 이벤트 등 일시적 목적을 위하여 수집한 경우	해당 설문조사, 이벤트 등이 종료한 때

3. 개인정보 파기방법 
전자적 파일 형태의 정보는 로우레벨포맷, 와이핑 방법 등 복구 및 재생이 되지 않는 기술적인 방법을 사용합니다. 종이에 출력된 개인정보는 분쇄기로 분쇄하거나 소각을 통하여 파기합니다

제 6조 회원 및 법정대리인의 권리와 그 행사방법
'회원'은 언제든지 등록되어 있는 '회원'의 개인정보를 열람하거나 수정할 수 있으며, '스마케어'의 개인정보의 처리에 동의하지 않는 경우 동의를 거부하거나 가입해지(회원탈퇴)를 요청할 수 있습니다.
'회원'의 개인정보 조회 및 수정을 위해서는 '회원정보수정', 가입해지(동의철회)를 위해서는 '회원탈퇴'를 클릭하여 비밀번호 또는 본인확인 등의 절차를 거친 후 탈퇴가 가능합니다. 혹은 개인정보 보호 업무 담당부서에게 서면, 전화 또는 이메일로 연락하시면 지체 없이 조치하겠습니다.
'회원'이 개인정보의 오류에 대한 정정을 요청하신 경우, '스마케어'는 정정을 완료하기 전까지 당해 개인정보를 이용 또는 제공하지 않습니다. 또한 잘못된 개인정보를 제 3자에게 이미 제공한 경우에는 정정 처리결과를 제 3자에게 지체 없이 통지하여 정정이 이루어지도록 하겠습니다.
'스마케어'는 '회원'의 요청에 의해 해지 또는 삭제된 개인정보는 제 3조에 명시된 바에 따라 처리하고 그 외의 용도로 열람 또는 이용할 수 없도록 처리하고 있습니다.
만 14세 이상인 경우에만 회원 가입이 가능하며, 개인정보의 수집?이용에 법정 대리인의 동의가 필요한 만 14세 미만 아동의 개인정보는 원칙적으로 수집하지 않습니다.

제 7조 개인정보 자동수집 장치의 설치, 운영 및 그 거부에 관한 사항
'스마케어'는 '회원'이 제공한 정보 이외에 단말기 또는 통신환경등의 정보 등을 수집합니다. '스마케어'는 본 앱의 실행권한 밖에 있는 단말기의 다른 파일들에 접근할 수 없습니다. 
해당 정보르 사용 목적 및 수집 거부 방법은 다음과 같습니다.

1. 단말기 정보 등 사용 목적    
'스마케어'는 하나의 아이디를 동시에 둘 이상의 단말기에서 사용할수 없습니다 이러한 행위를 방지하는 용도로 사용합니다
'스마케어'는 '회원' 의 접속 빈도나 방문 시간 등을 분석, '회원'의 취향과 관심분야를 파악 및 자취 추적, 각종 이벤트 참여 정도 및 방문 회수 파악 등을 통한 타겟 마케팅 및 개인 맞춤 서비스를 제공하기 위해 사용합니다.
  
2. 단말기 정보 등 수집 거부 방법    
 '회원'은 개인정보 및 기타 다른정보 (단말기 정보 등) 에 대한 수집을 거부할 권리가 있으며 해당 약관을 동의 하지 않으실 경우 정보를 수집하지 않습니다
 '회원'은 이미 정보 수집에 동의 하여 가입이 되어 있을 경우 '회원탈퇴' 를 통하여 이를 거부 할 수 있습니다
 단, '회원'이 정보 수집을 거부하였을 경우 '스마케어' 이용이 불가합니다.
     
제 8조 개인정보의 제3자 제공
'스마케어' 는 '회원'의 사전 동의 없이는 동의 범위를 초과하여 이용하거나 원칙적으로 '회원'의 개인정보를 외부에 공개하지 않습니다. 다만, 아래의 경우에는 예외로 합니다.

- '회원'이 사전에 제 3자 제공에 동의한 경우
- 컨텐츠 이용을 위한요금 정산을 위하여 필요한 경우
- 법령의 규정에 의하거나, 수사, 조사 목적으로 법령에 정해진 절차와 방법에 따라 수사기관 및 감독당국의 요구가 있는 경우
- 통계작성?학술연구 또는 시장조사를 위하여 필요한 경우로서 특정 개인을 알아볼 수 없는 형태로 가공하여 제공하는 경우
- 협력회사 및 제휴사를 통해 제공되는 서비스이용에 필요한 제한된 범위내의 개인 정보 공유가 필요한 경우

제 9조 개인정보보호 업무 관련 담당부서
'스마케어'는 '회원'의 개인정보를 보호하고 개인정보와 관련한 불만을 처리하기 위하여 아래와 같이 관련 부서를 지정하고 있습니다. '회원'은 '스마케어'의 서비스를 이용하실때 발생하는 모든 개인정보보호 관련 민원을 담당부서로 신고하실 수 있습니다. '스마케어'는 '회원'의 신고사항에 대해 신속하게 충분한 답변을 드릴 것입니다.

1. 개인정보보호 업무 담당부서

구분	내용
담당부서	서비스지원팀
연락처	02-533-0711
이메일	digitalpharm@dgtpharm.com

제 10조 개인정보처리방침의 개정 및 고지
현 개인정보취급방침 내용 추가, 삭제 및 수정이 있을 시에는 개정 최소 7일전부터 '스마케어' 앱의 '마이메뉴' 창 내에 있는 '공지사항'을 통해 고지할 것입니다. 

시행일자: 2023년 7월 1일",
scene_main_34,,,"View the result of past exams, Digital Brain Screening results",,"지난검사 결과보기, 디지털 브레인 스크리닝 성적",
scene_main_35,,,"Day, Month, Week, Year",,"일, 월, 주, 년",
scene_main_36,,,View by unit,,단위로 보기,
scene_main_37,,,Score,,점,
scene_main_38,,,You have not completed the DBS screening test! You have to complete the screening test for an accurate analysis. ,,"DBS 선별검사를 완료하지 않으셨네요!, 선별검사를 완료해야 정확한 분석이 가능합니다.",
scene_main_39,,,"Go back, Begin exam",,"돌아가기, 검사 시작하기",
scene_main_40,,,Free trial game,,무료 연습 게임,
scene_main_41,,,"Memory Training, Find the black stone!, Memory Pang Pang, Which card should I get?, Let's dig for gems, Matching, Where is it?",,"기억력 훈련, 검은돌을 찾아라!, 메모리 팡팡, 무슨 패를 먹을까?, 보석을 캐자, 짝 맞추기, 어디에 있을까",
scene_main_42,,,"Language Skill Training, Complete the Proverb, Guess the Name, Word Catching ",,"언어력 훈련, 속담 완성하기, 이름 알아 맞추기, 단어 잡기",
scene_main_43,,,"Calculation Training, How much is it?, Addition/Subtraction",,"계산력 훈련, 얼마일까요?, 더하기 빼기",
scene_main_44,,,"Attention Training, Press the Button, Who am I, Colorful OX, Find Different Shape, Who is bigger? ",,"주의집중력 훈련, 버튼을 눌러라, 누구일까요, 알록달록 OX, 다른 모양 찾기, 누가 더 클까?",
scene_main_45,,,"Spatial Perception Training, Which Hand is it? Find Different Direction, Doctor's Stroll",,"공간지각력 훈련, 어느 쪽 손일까?, 다른 방향을 찾아라!, 닥터의 산책",
scene_main_46,,,There is still time remaining in the payment period. Payment history will not be restored even if you re-register after withdrawal. Do you want to cancel the membership? ,,결제기간이 남아있습니다 탈퇴 후에는 재가입해도 결제내역이 복구되지 않습니다 탈퇴하시겠습니까?,
scene_main_47,,,Do you want to cancel the membership? ,,탈퇴하시겠습니까?,
scene_main_48,,,"Consent to provide information, full consent, consent to provide third-party information for marketing purposes, provision of benefits and information via SMS, provision of benefits and information via push notifications, provision of benefits and information via email",,"정보제공동의, 전체동의, 마케팅 목적의 제 3자 정보 제공 동의, SMS를 통한 혜택 및 정보 제공, 푸시 알림을 통한 혜택 및 정보 제공, 이메일을 통한 혜택 및 정보 제공",
scene_main_49,,,"If you have not register email address, please update your email information in Change information. ",,이메일을 등록하지 않으셨다면 정보변경에서 이메일 정보를 갱신해주십시오.,
scene_main_50,,,"If you quit now, your progress will not be saved. Continue",,"지금 종료하면 진행사항이 저장되지 않습니다, 계속 진행 하기",
scene_report_0,,,"Training Results, Summary, Comparison, By Game, My Training Status, My Cognitive Ability, My Training Guide, My Training Status",,"훈련 결과, 요약, 비교, 게임별, 나의 훈련 현황, 나의 인지 능력, 나의 훈련 도감, 나의 훈련 현황",
scene_report_1,,,"Stage, Episode",,"단계, 회",
scene_report_2,,,"Today's training total time, Total training time, Number of completed training",,"금일 훈련 누적시간, 전체 훈련 누적시간, 완료 훈련 횟수",
scene_report_3,,,"If the total score exceeds 1,000 points, you will move up one stage. Try reaching a higher stage!",,"훈련 점수 합계가 1,000점이 되면 1단계씩 올라갑니다, 더 높은 단계에 도달해보세요!",
scene_report_4,,,"Out of 100 people, what rank am I?",,나는 100명 중 몇 등 일까?,
scene_report_5,,,"Me, Friends",,"나, 친구들",
scene_report_6,,,"My score, User average score",,"나의 점수, 이용자 평균 점수",
scene_report_7,,,My Smartcare brain age ,,나의 스마케어 두뇌나이,
scene_report_8,,,This item is only available for paid members. ,,본 항목은 유료회원에게 제공되는 서비스입니다,
scene_report_9,,,Buy passes,,이용권 구매하기,
scene_report_10,,,"Our Smartcare service is provided for the purpose of simple self-check/screening of cognitive function and its condition (please note that it is not intended for health checkups, confirmation, or treatment), and a cognitive program developed through collaborative research with Seoul St. Mary's Hospital of Catholic University and its faculty (a program developed based on the dementia screening tool MMSE-K and adapted for online/mobile services) is used. Even if there is positive or negative analysis or related information about the user's health condition through this service, we recommend that the user receive treatment and/or consultation from a specialist or medical institution regarding the user's health condition and health hygiene risks or concerns.",,"당사의 스마케어 서비스는 인지 기능과 그 상태에 대한 간이한 자가 점검/스크리닝 목적으로 제공되고 있고(이와 관련 건강검진, 그 확인 또는 그 치료를 위한 것이 아님을 유의하시기 바랍니다), 가톨릭대학교 서울성모병원 및 그 교수진의  협력 연구를 통하여 개발된 인지프로그램(치매선별검사 도구인 MMSE-K를 기반으로 이를 온라인/모 바일 서비스에 적합하게 개발된 프로그램)이 사용되고 있습니다. 본 서비스를 통하여 이용자의 건강상태에 대한 긍정적 또는 부정적 분석이나 관련 정보가 있는 경우에도 이용자 자신의 건강상태 및 보건 위생상의 위해 여부 또 는 그 우려에 대하여는 전문의, 의료기관의 진료 및/또는 상담을 받아보시기를 권장합니다.",
scene_report_11,,,"Training results by game, Check other training results",,"게임별 훈련 결과, 다른 훈련 결과 보기",
scene_report_12,,,"Best score, Correct answer rate, Average response time",,"최고점수, 정답률, 평균 반응 시간",
scene_report_13,,,"Select your age group, choose the age group you want to compare",,"나이대 선택, 비교하고 싶은 연령대를 선택하세요",
scene_login_0,,,"You need to log-in, Join the membership, Cellphone log-in",,"로그인이 필요합니다, 회원가입, 휴대폰 로그인",
scene_login_1,,,"ID, Please enter ID, Password, Please enter password.",,"아이디, 아이디를 입력해 주세요, 비밀번호, 비밀번호를 입력해 주세요",
scene_login_2,,,"Log-in, Join or Log-in, Find ID, Find password",,"로그인, 가입 또는 로그인, 아이디 찾기, 비밀번호 찾기",
scene_login_3,,,"Name, Phone number, Verification number, Verification",,"이름, 휴대폰 번호, 인증 번호, 인증",
scene_login_4,,,Temporary password will be sent to your phone. ,,임시 비밀번호가 핸드폰으로 발송됩니다,
scene_login_5,,,"New password, Please re-enter, Reset password",,"신규 비밀번호, 재 입력해주세요, 비밀번호 재설정",
scene_register_0,,,"If you proceed without completing the dementia self-diagnosis test, it may be difficult to give you an accurate assessment of your situation. Would you like to take the dementia self-diagnosis test?",,치매자가진단을 안하고 진행하신다면 귀하의 상황에 대해 정확한 평가를 드리기 어려울 수도 있습니다. 치매자가진단 테스트를 진행하시겠습니까?,
scene_register_1,,,"Smartcare Terms of Use, Agree to all Terms of Use, Agree to Smartcare Terms of Use (required), Agree to collection and use of personal information (required), Agree to use of marketing information (optional), Agree to all benefit notifications",,"스마케어 이용약관, 이용약관 전체동의, 스마케어 이용약관에 동의(필수), 개인정보 수집·이용 동의(필수), 마케팅 정보 활용 동의(선택), 혜택 알림에 전체 동의, ",
scene_register_2,,,"Details, You can receive comprehensive brain cognitive reports by email. ",,"자세히보기, 두뇌인지종합보고서 등을 메일로 받아보실 수 있습니다.",
scene_register_3,,,"Email, Push Notification",,"이메일, 앱 알람(PUSH)",
scene_register_4,,,"Agree, Check duplicate, Delete",,"동의합니다, 중복확인, 지우기",
scene_register_5,,,"Please enter at least two digits, Please enter at least four digits",,"두 자리 이상 입력해주세요, 네 자리 이상 입력해주세요",
scene_register_6,,,"Optional question, Please enter your education level",,"선택시 입력, 교육 받은 정도를 알려주세요  ",
scene_register_7,,,Age,,연령,
scene_register_8,,,Now you can use Smarcare. Shall we begin? ,,이제 스마케어를 이용하실 수 있습니다! 시작해 볼까요?,
scene_register_9,,,"I am your attending physician, Dr. Doo. Nice to meet you.  ",,저는 여러분의 주치의 두닥터 입니다 만나서 반갑습니다,
scene_register_10,,,Yes! Nice to meet you too! ,,네! 저도 반가워요!,
scene_register_11,,,"Dementia diagnosis, Do it nexttime",,"치매 진단하기, 다음에 하기",
scene_purchase_0,,,What is Smartcare PRO member? ,,스마케어 PRO 회원이란?,
scene_purchase_1,,,You can enjoy all of the Smartcare's cognitive training games designed by the country's best researchers.,,국내 최고의 연구진들이 설계한 스마케어의 모든 인지 훈련 게임을 즐길 수 있습니다.,
scene_purchase_2,,,We provide systematic training to help you improve your weak areas by analyzing your cognitive status in detail.,,회원님의 인지 상태를 상세 분석하여 부족한 영역을 보완할 수 있는체계적인 훈련을 제공합니다.,
scene_purchase_3,,,What is my brain age? Various statistical data through detailed analysis of each game is provided. ,,나의 두뇌 나이는 어느 수준인가? 각 게임별 상세분석을 통해 다양한 통계 자료를 제공합니다.,
scene_purchase_4,,,"Do you want to continue with the purchase? Once you use the pass after the purchase, it cannot be refunded. ",,"구매를 진행하시겠습니까?, 이용권을 구매하신 다음 사용하신 후에는 환불되지않습니다.",
scene_purchase_5,,,"Purchase selected pass, register coupon ",,"선택한 이용권 구매, 쿠폰 등록하기",
scene_purchase_6,,,"4900 won, 8900 won",,"4900원, 8900원",
scene_purchase_7,,,"11,900 won, 23,900 won",,"11,900원, 23,900원",
scene_purchase_8,,,"34,900 won, 69,900 won",,"34,900원, 69,900원",
scene_purchase_9,,,"79,000 won, 119,000 won",,"79,000원, 119,000원",
scene_five_games_0,,,"Today's training, Next training",,"오늘의 훈련, 다음 훈련",
scene_five_games_1,,,Get ready for 5 new trainings. Stimulate your brain 365 days for free. ,,"매일 새로운 5개의 훈련을 준비합니다, 365일 매일 무료로 두뇌를 자극해보세요",
scene_five_games_2,,,"You have completed all the trainings for today! Thank you for your hard work! Now, shall we train freely?",,"오늘의 훈련을 모두 완료했습니다! 수고하셨습니다!, 이제 자유롭게 훈련해 볼까요?",
scene_diagnosis_0,,,"Question, Stop, Move on, Result ",,"질문, 정지, 넘어가기, 결과",
scene_diagnosis_1,,,This digital brain screening is a cognitive screening program of 'Ariacare Korea' that utilizes MMSE (Mini Mental State Examination) and dementia screening items. You can proceed if you agree to the collection of personal information such as diagnosis results.,,본 디지털 브레인 스크리닝은 MMSE(간이정신상태검사)와 치매 검사 문항을 활용한 '아리아케어 코리아'의 인지 검사 프로그램입니다. 진단 결과 등 개인정보 수집에 동의할 경우 진행하실 수 있습니다.,
scene_diagnosis_2,,,Consent to collection of personal information,,개인정보 수집동의,
scene_diagnosis_3,,,"If you end now, progress will not be saved. ",,지금 종료하면 진행사항이 저장되지 않습니다.,
scene_diagnosis_4,,,"Continue, Stop, Start another exam ",,"계속 진행 하기, 그만 하기, 다른 검사 하기",
scene_diagnosis_5,,,What will it look like from above? This is a side view of three shapes stacked on top of each other. ,,"위에서 보면 어떤 모습일까요?, 3개의 도형을 쌓고 옆에서 본 모습입니다.",
scene_diagnosis_6,,,"Normal expected, Risk expected, High risk expected",,"정상 추정, 위험 추정,고도위험 추정",
scene_diagnosis_7,,,"If you score 15 or less out of 25, you may have cognitive decline (If cognitive decline continues, you are at a higher risk of dementia.) Getting an accurate examination from a professional is highly recommended. ",,총 25점 만점 중 15점 이하면 인지능력 저하가 있을 수도 있습니다. (인지저하가 계속될 시 치매 위험성이 높습니다.) 전문가에게 정확한 검사를 받아보시는 것을 권장합니다.,
scene_diagnosis_8,,,Dementia self-diagnosis standard,,치매자가검사 기준표,
scene_diagnosis_9,,,"Score 20~25: Estimated safe group, 16~19: Estimated risk group, 0~15: Estimated high risk group",,"20~25점 : 안전군 추정, 16~19점 : 위험군 추정, 0~15점 : 고도 위험군 추정",
scene_imig_0,,,"Explanation, Normal, View detailed analysis, Detailed result, Response time",,"설명, 정 상, 상세분석 보기, 상세 결과, 반응시간",
scene_imig_1,,,We will conduct the examination once more for accurate test results. ,,정확한 검사 결과를 위해 한 번 더 진행하겠습니다,
scene_imig_2,,,Good job. Only press when a triangle appears. ,,잘하셨습니다. 삼각형이 나올 때만 누르세요.,
scene_imig_3,,,"The Motor Imagery Task consists of three subtests. You can proceed if you agree to the collection of personal information, including diagnostic results.",,"운동심상 검사(MotorImagery Task)는 3개의 소검사로 구성됩니다, 진단 결과 등 개인정보 수집에 동의할 경우 진행하실 수 있습니다.",
